epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.86248,1.20307,3.33885,1.42765,0.69384,0.77112,0.81681,0.59452,0.92589,5.35347,1.35038,0.00018337,0.00018337,0.00018337
2,14.7724,1.10294,1.47703,1.35272,0.74796,0.65559,0.72979,0.43538,1.47806,2.40463,1.91389,0.000379614,0.000379614,0.000379614
3,20.9285,1.23467,1.37207,1.40215,0.74116,0.31429,0.2952,0.13013,2.0854,3.93936,2.84295,0.000571898,0.000571898,0.000571898
4,26.8089,1.22404,1.22936,1.39704,0.49232,0.45201,0.33645,0.16393,2.26246,2.63805,2.80182,0.00076022,0.00076022,0.00076022
5,32.8337,1.22894,1.23522,1.42995,0.81461,0.4,0.37418,0.16249,1.78511,11.1038,3.22587,0.000944582,0.000944582,0.000944582
6,38.9048,1.32613,1.33516,1.47509,0.11564,0.22981,0.0896,0.03556,2.42486,15.269,4.19196,0.00112498,0.00112498,0.00112498
7,44.5109,1.36944,1.32126,1.47891,0.15303,0.37205,0.1051,0.03184,2.94281,27.8724,5.64884,0.00130142,0.00130142,0.00130142
8,50.5885,1.39124,1.39265,1.52942,0.25556,0.16491,0.05934,0.01437,3.63277,15.1675,5.32681,0.0014739,0.0014739,0.0014739
9,56.2521,1.43714,1.36427,1.59177,0.08538,0.2441,0.05548,0.03151,3.25867,21.8124,3.85059,0.00153497,0.00153497,0.00153497
10,62.2844,1.45744,1.41241,1.6017,0.31992,0.16584,0.16071,0.05997,3.22143,5.72529,4.16929,0.00151847,0.00151847,0.00151847
11,67.8519,1.36989,1.29562,1.49047,0.27285,0.33944,0.30478,0.14785,2.02949,5.42997,2.61647,0.00150197,0.00150197,0.00150197
12,74.031,1.3956,1.3442,1.50639,0.46858,0.39276,0.40279,0.19323,1.85876,3.87415,2.45639,0.00148546,0.00148546,0.00148546
13,79.6164,1.26945,1.21268,1.44419,0.43683,0.15807,0.14316,0.07093,2.6283,4.17307,2.99319,0.00146896,0.00146896,0.00146896
14,85.9405,1.30882,1.30613,1.47524,0.46727,0.35702,0.36615,0.14624,2.05463,2.60885,2.42523,0.00145246,0.00145246,0.00145246
15,91.5864,1.27779,1.2147,1.42916,0.50997,0.59828,0.56723,0.22946,1.91853,2.65081,2.41166,0.00143595,0.00143595,0.00143595
16,97.9226,1.24974,1.17807,1.42803,0.65132,0.34354,0.35823,0.16569,2.27206,4.55664,3.11572,0.00141945,0.00141945,0.00141945
17,103.691,1.23264,1.14111,1.38714,0.55754,0.70466,0.64539,0.3149,1.69867,1.79981,2.1305,0.00140295,0.00140295,0.00140295
18,109.852,1.29175,1.16474,1.45117,0.67477,0.79161,0.73503,0.39439,1.74466,1.50887,2.18905,0.00138644,0.00138644,0.00138644
19,115.839,1.23398,1.07014,1.40405,0.38572,0.48012,0.43896,0.25741,1.64865,1.92935,2.17167,0.00136994,0.00136994,0.00136994
20,122.058,1.20197,1.02714,1.40004,0.71668,0.70873,0.74438,0.42354,1.55741,1.64572,2.02536,0.00135344,0.00135344,0.00135344
21,128.078,1.23631,1.07996,1.43699,0.56601,0.47273,0.43143,0.23007,1.85796,2.5318,2.42081,0.00133693,0.00133693,0.00133693
22,134.03,1.18951,1.02113,1.40309,0.61385,0.4216,0.53146,0.27504,1.71775,2.04202,2.07952,0.00132043,0.00132043,0.00132043
23,139.943,1.1766,0.99215,1.37378,0.46079,0.62547,0.48566,0.22993,1.79874,2.01512,2.23914,0.00130393,0.00130393,0.00130393
24,145.592,1.18838,0.9999,1.36312,0.68005,0.72896,0.77582,0.4056,1.55596,1.4829,1.9083,0.00128742,0.00128742,0.00128742
25,151.634,1.15413,0.94083,1.36703,0.63989,0.53168,0.57733,0.29628,1.70924,1.61462,2.1152,0.00127092,0.00127092,0.00127092
26,157.203,1.14556,0.90689,1.35073,0.76722,0.6629,0.72561,0.36002,1.69441,1.37241,2.12977,0.00125442,0.00125442,0.00125442
27,163.27,1.14304,0.95133,1.34091,0.68269,0.4882,0.6126,0.2976,1.76266,1.57576,2.30929,0.00123791,0.00123791,0.00123791
28,168.957,1.11426,0.95967,1.34752,0.79087,0.5382,0.6384,0.34443,1.59435,1.54375,2.07028,0.00122141,0.00122141,0.00122141
29,175.194,1.11627,0.94024,1.36059,0.68132,0.52965,0.55166,0.29364,1.70882,1.66614,2.06985,0.00120491,0.00120491,0.00120491
30,180.849,1.11709,0.93332,1.31153,0.83085,0.66739,0.75171,0.44498,1.41846,1.1957,1.7509,0.0011884,0.0011884,0.0011884
31,187.204,1.0965,0.95387,1.3094,0.6451,0.58137,0.63525,0.35028,1.41627,1.31505,1.7499,0.0011719,0.0011719,0.0011719
32,192.857,1.0481,0.85937,1.26787,0.84506,0.41772,0.4659,0.25967,1.66247,1.83552,2.20306,0.0011554,0.0011554,0.0011554
33,199.138,1.04656,0.86918,1.29674,0.51229,0.49627,0.42956,0.21975,1.74313,1.68767,2.34841,0.00113889,0.00113889,0.00113889
34,204.886,1.04507,0.85371,1.30753,0.6607,0.66056,0.64914,0.32637,1.7684,1.40435,2.24813,0.00112239,0.00112239,0.00112239
35,211.23,1.01511,0.80092,1.27094,0.82316,0.70572,0.77133,0.40954,1.54027,1.10314,1.83379,0.00110589,0.00110589,0.00110589
36,217.206,1.02202,0.8177,1.26616,0.7888,0.76149,0.82641,0.43752,1.54066,1.08396,1.89142,0.00108938,0.00108938,0.00108938
37,223.216,0.97652,0.79081,1.25731,0.83691,0.79231,0.85328,0.49937,1.38196,1.00355,1.7152,0.00107288,0.00107288,0.00107288
38,229.247,0.95968,0.74391,1.22421,0.81286,0.61816,0.77266,0.45363,1.43416,1.05519,1.77851,0.00105638,0.00105638,0.00105638
39,235.204,1.04717,0.83919,1.3185,0.82383,0.68352,0.79211,0.47481,1.25608,1.00194,1.62778,0.00103987,0.00103987,0.00103987
40,241.184,0.98666,0.73542,1.24552,0.79396,0.83416,0.82008,0.50636,1.27082,0.99003,1.7067,0.00102337,0.00102337,0.00102337
41,246.843,0.95171,0.71903,1.22375,0.70081,0.73261,0.769,0.49129,1.31767,1.0386,1.7229,0.00100687,0.00100687,0.00100687
42,253.009,0.94861,0.74447,1.22605,0.53107,0.5441,0.55244,0.34432,1.49526,1.29711,1.94759,0.000990365,0.000990365,0.000990365
43,258.625,1.01097,0.75531,1.2599,0.71263,0.71056,0.72762,0.4493,1.41529,0.97238,1.8309,0.000973861,0.000973861,0.000973861
44,264.736,1.00473,0.75081,1.23988,0.70094,0.78322,0.76228,0.43459,1.43217,0.98336,1.80643,0.000957358,0.000957358,0.000957358
45,270.468,0.99438,0.74775,1.22825,0.65955,0.62391,0.64885,0.39936,1.39889,0.98103,1.82007,0.000940855,0.000940855,0.000940855
46,276.684,0.95272,0.76367,1.2187,0.77378,0.84443,0.85762,0.50648,1.43072,0.90187,1.8416,0.000924352,0.000924352,0.000924352
47,282.242,1.00253,0.76695,1.27595,0.86397,0.81988,0.86849,0.54182,1.27061,0.83546,1.67884,0.000907848,0.000907848,0.000907848
48,288.629,0.96072,0.73343,1.24015,0.84395,0.7396,0.77845,0.4474,1.33563,0.93099,1.74696,0.000891345,0.000891345,0.000891345
49,294.256,0.93942,0.71529,1.19834,0.66152,0.83014,0.78839,0.49236,1.3302,1.03368,1.68483,0.000874842,0.000874842,0.000874842
50,300.705,0.89273,0.68202,1.1737,0.76071,0.86304,0.83144,0.50856,1.31998,0.85454,1.69798,0.000858338,0.000858338,0.000858338
51,306.429,0.90802,0.66041,1.20053,0.78222,0.84144,0.86841,0.53397,1.39631,0.78197,1.77649,0.000841835,0.000841835,0.000841835
52,312.665,0.87025,0.66297,1.1634,0.70984,0.74786,0.75323,0.47314,1.42286,1.07253,1.89871,0.000825332,0.000825332,0.000825332
53,318.449,0.92015,0.70867,1.21336,0.81706,0.82702,0.83895,0.51137,1.31981,0.82099,1.74781,0.000808828,0.000808828,0.000808828
54,324.682,0.88799,0.67865,1.16605,0.87291,0.81193,0.90347,0.52352,1.30615,0.84395,1.73893,0.000792325,0.000792325,0.000792325
55,330.62,0.89804,0.67107,1.17626,0.8957,0.81242,0.88004,0.54971,1.28426,0.81471,1.70631,0.000775822,0.000775822,0.000775822
56,336.627,0.84511,0.64965,1.15811,0.71731,0.84035,0.86099,0.55905,1.26218,0.83976,1.69084,0.000759318,0.000759318,0.000759318
57,342.606,0.87498,0.66659,1.16248,0.73562,0.81925,0.8082,0.51424,1.20822,0.80162,1.68558,0.000742815,0.000742815,0.000742815
58,348.354,0.81464,0.62912,1.14174,0.79774,0.81729,0.82202,0.5263,1.21989,0.86761,1.71896,0.000726312,0.000726312,0.000726312
59,354.472,0.8002,0.58593,1.12955,0.78108,0.73975,0.75655,0.51196,1.21751,0.91335,1.68266,0.000709809,0.000709809,0.000709809
60,360.097,0.84033,0.6327,1.15305,0.81133,0.71758,0.75776,0.49137,1.17431,0.89084,1.61212,0.000693305,0.000693305,0.000693305
61,366.226,0.78211,0.63052,1.11855,0.92154,0.71801,0.82937,0.54578,1.21787,0.85406,1.63728,0.000676802,0.000676802,0.000676802
62,371.977,0.80319,0.56115,1.11473,0.88752,0.76679,0.87711,0.57856,1.1903,0.75129,1.6074,0.000660299,0.000660299,0.000660299
63,378.1,0.81695,0.57869,1.12932,0.69273,0.72516,0.73922,0.46583,1.37699,0.93936,1.83005,0.000643795,0.000643795,0.000643795
64,383.985,0.78797,0.58865,1.1131,0.7313,0.75069,0.75832,0.49004,1.24532,0.9502,1.72471,0.000627292,0.000627292,0.000627292
